[1, 2017]	[7.922714782633555e+25, 1409664]
[1, 2019]	[7.381447084911785e+25, 16569597]
[10, 2015]	[1.5208047828448098e+25, 205045]
[10, 2017]	[3.360846484644294e+26, 12570063]
[11, 2016]	[5.160048725572382e+25, 1301586]
[11, 2018]	[9.022017142943745e+25, 16713911]
[12, 2015]	[9.289603672676024e+24, 347092]
[12, 2017]	[3.666100681197245e+26, 26687692]
[2, 2016]	[3.40873784595013e+25, 520040]
[2, 2018]	[1.385132885924701e+26, 22231978]
[3, 2017]	[4.2953773253044704e+26, 2426471]
[3, 2019]	[6.893204414745606e+25, 18029582]
[4, 2016]	[2.3194232964810635e+25, 1023096]
[4, 2018]	[5.113249610098334e+25, 20876642]
[5, 2017]	[5.30043220603641e+26, 4245516]
[5, 2019]	[9.745831262806594e+25, 24332475]
[6, 2016]	[4.120878520191728e+25, 1351536]
[6, 2018]	[6.311254280425678e+25, 22471788]
[7, 2017]	[5.091866275967629e+26, 7835875]
[8, 2016]	[8.305409017554502e+25, 1405743]
[8, 2018]	[4.760012327425012e+25, 19842059]
[9, 2015]	[1.2247113613140743e+25, 173805]
[9, 2017]	[3.670234244912143e+26, 10672734]
[1, 2016]	[2.4720522386297285e+25, 404816]
[1, 2018]	[3.740608588705947e+26, 33504270]
[10, 2016]	[4.314612303458275e+25, 1329847]
[10, 2018]	[5.2371622143836775e+25, 17056926]
[11, 2015]	[1.3963032381077937e+25, 234733]
[11, 2017]	[4.532797247341115e+26, 15292269]
[12, 2016]	[8.089808031927077e+25, 1316131]
[12, 2018]	[1.0170287733612462e+26, 17107601]
[2, 2017]	[7.837059497363288e+25, 1410048]
[2, 2019]	[5.3398656312784836e+25, 13413899]
[3, 2016]	[4.205505482607555e+25, 917170]
[3, 2018]	[5.527597827971068e+25, 20261862]
[4, 2017]	[2.828254036371086e+26, 2539966]
[4, 2019]	[8.18593786976196e+25, 19830158]
[5, 2016]	[6.33621855211136e+25, 1346796]
[5, 2018]	[6.271887409015288e+25, 25105717]
[6, 2017]	[4.114075699426011e+26, 7244657]
[6, 2019]	[7.77691930003217e+25, 25613628]
[7, 2016]	[1.2996215766274773e+26, 1356907]
[7, 2018]	[4.535544929204964e+25, 19937033]
[8, 2015]	[4.113693809207743e+25, 85609]
[8, 2017]	[5.079954372121946e+26, 10523178]
[9, 2016]	[4.526794076360552e+25, 1387412]
[9, 2018]	[5.994754281640642e+25, 16056742]
