0x00e01a648ff41346cdeb873182383333d2184dd1, 130, Phishing, Offline, 0x00e01a648ff41346cdeb873182383333d2184dd1

0x858457daa7e087ad74cdeeceab8419079bc2ca03, 1200, Phishing, Active, 0x858457daa7e087ad74cdeeceab8419079bc2ca03

0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1, 6, Phishing, Offline, 0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1

0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0, 81, Phishing, Offline, 0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0, 0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884ec9468fc39eccc013c65b5e4, 0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb4264f461889a318a3bb2251bf19

0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884ec9468fc39eccc013c65b5e4, 81, Phishing, Offline, 0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0, 0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884ec9468fc39eccc013c65b5e4, 0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb4264f461889a318a3bb2251bf19

0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb4264f461889a318a3bb2251bf19, 81, Phishing, Offline, 0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0, 0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884ec9468fc39eccc013c65b5e4, 0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb4264f461889a318a3bb2251bf19

0x2268751eafc860781074d25f4bd10ded480310b9, 41, Fake ICO, Offline, 0x2268751eafc860781074d25f4bd10ded480310b9

0xd0cc2b24980cbcca47ef755da88b220a82291407, 2, Phishing, Offline, 0xd0cc2b24980cbcca47ef755da88b220a82291407

0x379ce20c018fb6301c1872c429ec7270ffa4dc5b, 1213, Phishing, Offline, 0x379ce20c018fb6301c1872c429ec7270ffa4dc5b

0xaa1886de3f70a3ef502ea1379a311c5b4e05f3fd, 360, Phishing, Offline, 0xaa1886de3f70a3ef502ea1379a311c5b4e05f3fd

0xba83e9ce38b10522e3d6061a12779b7526839eda, 90, Phishing, Offline, 0xba83e9ce38b10522e3d6061a12779b7526839eda, 0xf73ef0650415656b51be39bd5d37cf5ce03f4033, 0xedf202629bb7e9f72d4c62c325d198513fa7a3d3

0x42c5459911ae51d1d005cbe39749bd8d8e533c22, 78, Phishing, Offline, 0x42c5459911ae51d1d005cbe39749bd8d8e533c22, 0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767

0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767, 78, Phishing, Offline, 0x42c5459911ae51d1d005cbe39749bd8d8e533c22, 0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767

0x1d60606d8a09b5015d773a80b0c660bb8d91809c, 88, Phishing, Offline, 0x1d60606d8a09b5015d773a80b0c660bb8d91809c

0xadf5b0c2103598fb66a61714152f1d1717d49fe0, 47, Fake ICO, Offline, 0xadf5b0c2103598fb66a61714152f1d1717d49fe0

0x240e125c20a4cc84bd6e7f8d1fd07aff4c06d43d, 31, Fake ICO, Offline, 0x240e125c20a4cc84bd6e7f8d1fd07aff4c06d43d

0xc5d65deff5d1373f8b19aa8be528e9c3599013ba, 2158, Phishing, Offline, 0xc5d65deff5d1373f8b19aa8be528e9c3599013ba

0x1086feeb031e45e8fcd770662aa8302d7c23ba1f, 2154, Phishing, Offline, 0x1086feeb031e45e8fcd770662aa8302d7c23ba1f

0x89c98cc6d9917b615257e5704e83906402f0f91f, 2136, Phishing, Offline, 0x89c98cc6d9917b615257e5704e83906402f0f91f

0x4a0d27a1044dd871a93275de5109e5f5efc4d46e, 2135, Phishing, Offline, 0x89c98cc6d9917b615257e5704e83906402f0f91f, 0x4a0d27a1044dd871a93275de5109e5f5efc4d46e, 0x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6, 0xe4fa5149306b12d51dc0d04e5e95bc9704ccaad7

0x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6, 2137, Phishing, Offline, 0x1e80dad60d19fb8159af3f440a8ceaa0e5581847, 0x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6

0xe4fa5149306b12d51dc0d04e5e95bc9704ccaad7, 2135, Phishing, Offline, 0x89c98cc6d9917b615257e5704e83906402f0f91f, 0x4a0d27a1044dd871a93275de5109e5f5efc4d46e, 0x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6, 0xe4fa5149306b12d51dc0d04e5e95bc9704ccaad7

