date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount,price(USD)
2015-07-30,,,,,,39311.09375,,,,,121335493201,,4449897,6911,
2015-07-31,,,,,,36191.71875,,,,,602941851594,,3994458,6863,
2015-08-01,,,,,,27702.1875,,,,,887254173531,,3044344,5293,
2015-08-02,,,,,,28227.1875,,,,,1.02025370755E+12,,3112348,5358,
2015-08-03,,,,,,27976.71875,,,,,1.12583735885E+12,,3099953,5280,
2015-08-04,,,,,,28478.4375,,,,,1.21658734457E+12,,3150854,5368,
2015-08-05,,,,,,27528.59375,,,,,1.32783785749E+12,,3030780,5235,
2015-08-06,,,,,,27075.46875,,,,,1.38084636225E+12,,2986060,5116,
2015-08-07,5684487.22712,5684487.22712,2050,0.0,164329.0,27437.65625,37.3184135113,1086,41.6117128722,0.00132077886624,1.47083865066E+12,1977,3282693,5189,2.83
2015-08-08,37899681.7885,37899681.7885,2881,167911008.0,674188.0,27943.4375,68.0999700719,826,0.279,0.00124319442967,1.58612352894E+12,1973,3508878,5256,2.79
2015-08-09,823605.517746,823605.517746,1329,42637600.0,532170.0,27178.28125,14.0989497032,732,7.06136,0.00122301053332,1.70947978748E+12,1213,3167541,5123,0.706136
2015-08-10,1194050.4877,1194050.4877,2037,43130000.0,405283.0,27817.34375,31.1651444384,1001,0.359784483416,0.00122826248427,1.83769576327E+12,1451,3316883,5255,0.713989
2015-08-11,1053129.87257,1053129.87257,4963,42796500.0,1463100.0,28027.8125,11.311448586,2342,0.0340063030272,0.00121796486677,2.0363907975E+12,3029,3653834,5280,0.708087
2015-08-12,797474.189141,797474.189141,2036,64018400.0,2150620.0,27370.9375,32.5869924044,906,7.63496196467,0.00124406951189,2.20707974229E+12,1479,3348157,5124,1.06
2015-08-13,2182919.67454,2182919.67454,2842,73935400.0,4068680.0,28268.125,24.9291691099,1274,9.9475637699,0.00121009572004,2.33697970806E+12,2486,3519008,5286,1.22
2015-08-14,4162001.56084,4162001.56084,3174,109594000.0,4637030.0,31106.71875,14.3548341128,1594,18.7501433743,0.00121011072806,2.67125315047E+12,3015,3832496,5809,1.81
2015-08-15,13902410.5328,13902410.5328,2284,109160000.0,2554360.0,28512.65625,8.83659302805,1313,18.0,0.00120976066167,3.37802842587E+12,2170,3435520,5382,1.8
2015-08-16,2898479.71124,2898479.71124,2440,102028000.0,3550790.0,27094.53125,6.67723792491,1202,12.0070294226,0.00120780126594,3.63163214444E+12,2340,3287835,5132,1.68
2015-08-17,5383055.46816,5383055.46816,2512,95819696.0,1942830.0,28118.90625,7.64281183963,1249,11.6983602752,0.00121022797205,3.90802403525E+12,2410,3393782,5347,1.58
2015-08-18,2409105.86945,2409105.86945,2494,88143200.0,1485680.0,26162.8125,11.9060713402,1294,7.82349246966,0.00120569277268,4.37769472537E+12,2324,3208720,4948,1.22
2015-08-19,1691424.30403,1691424.30403,3246,84663904.0,1486240.0,27282.03125,15.4309506695,1350,6.21243964549,0.00121403885822,4.41957302182E+12,3147,3392043,5192,1.17
2015-08-20,592806.204465,592806.204465,2303,90809000.0,2843760.0,21057.03125,6.85556694271,1167,6.2484370625,0.00118448776127,4.46910943185E+12,2184,2615975,4024,1.25
2015-08-21,894127.676986,894127.676986,3919,107266000.0,2020970.0,26690.9375,7.85504172471,1425,7.4,0.00105,4.41525264365E+12,3809,3396674,5088,1.48
2015-08-22,874020.858748,874020.858748,3579,101404000.0,948310.0,27550.46875,42.5471718296,1414,5.797294888,0.00115196162067,4.8283409979E+12,3455,3415807,5271,1.4
2015-08-23,697311.417317,697311.417317,4190,99894496.0,1589300.0,26255.625,8.0497676729,1570,5.13557213206,0.00105,5.13835107567E+12,4025,3411809,5013,1.38
2015-08-24,630283.148711,630283.148711,4432,97791600.0,924920.0,27333.28125,8.8762854198,1436,4.03554478099,0.00105,5.17911888269E+12,4374,3486486,5184,1.35
2015-08-25,505362.445352,505362.445352,4487,89321904.0,1307180.0,26736.09375,8.25975582511,1580,4.1966506161,0.00105,5.17328767322E+12,4296,3464583,5097,1.23
